"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/1996","AQS","120860027","1","0.027","ppm","25","Rosenstiel","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.7328779805659","-80.1617501050887"
"01/02/1996","AQS","120860027","1","0.027","ppm","25","Rosenstiel","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.7328779805659","-80.1617501050887"
"01/03/1996","AQS","120860027","1","0.03","ppm","28","Rosenstiel","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.7328779805659","-80.1617501050887"
"01/04/1996","AQS","120860027","1","0.04","ppm","37","Rosenstiel","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.7328779805659","-80.1617501050887"
"01/05/1996","AQS","120860027","1","0.045","ppm","42","Rosenstiel","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.7328779805659","-80.1617501050887"
"01/06/1996","AQS","120860027","1","0.042","ppm","39","Rosenstiel","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.7328779805659","-80.1617501050887"
"01/07/1996","AQS","120860027","1","0.036","ppm","33","Rosenstiel","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.7328779805659","-80.1617501050887"
"01/11/1996","AQS","120860027","1","0.055","ppm","51","Rosenstiel","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.7328779805659","-80.1617501050887"
"01/12/1996","AQS","120860027","1","0.045","ppm","42","Rosenstiel","13","76.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.7328779805659","-80.1617501050887"
"01/14/1996","AQS","120860027","1","0.044","ppm","41","Rosenstiel","16","94.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.7328779805659","-80.1617501050887"
"01/15/1996","AQS","120860027","1","0.047","ppm","44","Rosenstiel","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.7328779805659","-80.1617501050887"
"01/16/1996","AQS","120860027","1","0.044","ppm","41","Rosenstiel","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.7328779805659","-80.1617501050887"
"01/18/1996","AQS","120860027","1","0.037","ppm","34","Rosenstiel","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.7328779805659","-80.1617501050887"
"01/19/1996","AQS","120860027","1","0.03","ppm","28","Rosenstiel","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.7328779805659","-80.1617501050887"
"01/20/1996","AQS","120860027","1","0.037","ppm","34","Rosenstiel","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.7328779805659","-80.1617501050887"
"01/21/1996","AQS","120860027","1","0.039","ppm","36","Rosenstiel","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.7328779805659","-80.1617501050887"
"01/22/1996","AQS","120860027","1","0.044","ppm","41","Rosenstiel","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.7328779805659","-80.1617501050887"
"01/23/1996","AQS","120860027","1","0.047","ppm","44","Rosenstiel","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.7328779805659","-80.1617501050887"
"01/24/1996","AQS","120860027","1","0.045","ppm","42","Rosenstiel","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.7328779805659","-80.1617501050887"
"01/25/1996","AQS","120860027","1","0.043","ppm","40","Rosenstiel","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.7328779805659","-80.1617501050887"
"01/26/1996","AQS","120860027","1","0.041","ppm","38","Rosenstiel","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.7328779805659","-80.1617501050887"
"01/27/1996","AQS","120860027","1","0.04","ppm","37","Rosenstiel","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.7328779805659","-80.1617501050887"
"01/28/1996","AQS","120860027","1","0.043","ppm","40","Rosenstiel","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.7328779805659","-80.1617501050887"
"01/29/1996","AQS","120860027","1","0.037","ppm","34","Rosenstiel","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.7328779805659","-80.1617501050887"
"01/30/1996","AQS","120860027","1","0.037","ppm","34","Rosenstiel","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.7328779805659","-80.1617501050887"
"01/31/1996","AQS","120860027","1","0.04","ppm","37","Rosenstiel","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.7328779805659","-80.1617501050887"
"02/01/1996","AQS","120860027","1","0.035","ppm","32","Rosenstiel","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.7328779805659","-80.1617501050887"
"02/02/1996","AQS","120860027","1","0.036","ppm","33","Rosenstiel","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.7328779805659","-80.1617501050887"
"02/03/1996","AQS","120860027","1","0.03","ppm","28","Rosenstiel","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.7328779805659","-80.1617501050887"
"02/06/1996","AQS","120860027","1","0.046","ppm","43","Rosenstiel","14","82.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.7328779805659","-80.1617501050887"
"02/07/1996","AQS","120860027","1","0.05","ppm","46","Rosenstiel","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.7328779805659","-80.1617501050887"
"02/08/1996","AQS","120860027","1","0.049","ppm","45","Rosenstiel","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.7328779805659","-80.1617501050887"
"02/09/1996","AQS","120860027","1","0.056","ppm","54","Rosenstiel","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.7328779805659","-80.1617501050887"
