"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Aberdeen, WA","10140",2020,31,31,0,0,0,0,0,40,30,21,0,0,0,0,31,0
"Akron, OH","10420",2020,91,78,13,0,0,0,0,66,52,34,0,0,18,0,73,0
"Albany, GA","10500",2020,85,56,29,0,0,0,0,86,74,37,0,0,0,0,85,0
"Albany-Schenectady-Troy, NY","10580",2020,91,76,15,0,0,0,0,73,55,37,1,0,41,0,49,0
"Amarillo, TX","11100",2020,60,57,3,0,0,0,0,86,43,35,0,0,54,4,2,0
"Anchorage, AK","11260",2020,2,1,1,0,0,0,0,87,87,87,0,0,0,0,2,0
"Ann Arbor, MI","11460",2020,60,60,0,0,0,0,0,39,36,31,0,0,60,0,0,0
"Ardmore, OK","11620",2020,90,79,11,0,0,0,0,64,52,35,0,0,37,0,53,0
"Arkadelphia, AR","11660",2020,29,29,0,0,0,0,0,48,39,31,0,0,29,0,0,0
"Asheville, NC","11700",2020,91,90,1,0,0,0,0,55,25,6,0,0,0,42,49,0
"Ashtabula, OH","11780",2020,60,60,0,0,0,0,0,6,1,0,0,0,0,60,0,0
"Athens, OH","11900",2020,13,13,0,0,0,0,0,46,45,20,0,0,0,0,13,0
"Athens-Clarke County, GA","12020",2020,91,78,13,0,0,0,0,74,52,35,0,0,10,0,81,0
"Atlanta-Sandy Springs-Roswell, GA","12060",2020,91,71,20,0,0,0,0,73,53,38,0,7,26,0,58,0
"Augusta-Richmond County, GA-SC","12260",2020,91,66,25,0,0,0,0,75,59,40,0,0,32,0,59,0
"Augusta-Waterville, ME","12300",2020,14,14,0,0,0,0,0,33,25,18,0,4,0,0,0,10
"Austin-Round Rock, TX","12420",2020,32,29,3,0,0,0,0,59,49,35,1,3,14,0,14,0
"Bakersfield, CA","12540",2020,91,42,48,1,0,0,0,106,80,54,0,0,0,0,83,8
"Baltimore-Columbia-Towson, MD","12580",2020,90,83,7,0,0,0,0,82,50,38,2,13,47,0,28,0
"Bangor, ME","12620",2020,121,115,6,0,0,0,0,73,45,38,0,0,66,0,54,1
"Barnstable Town, MA","12700",2020,48,48,0,0,0,0,0,47,40,36,0,0,48,0,0,0
"Bartlesville, OK","12780",2020,68,63,5,0,0,0,0,71,48,35,0,0,50,0,18,0
"Baton Rouge, LA","12940",2020,92,83,8,1,0,0,0,105,50,39,1,1,56,2,32,0
"Beaumont-Port Arthur, TX","13140",2020,31,24,7,0,0,0,0,92,72,36,0,1,11,7,12,0
"Bellingham, WA","13380",2020,31,22,7,2,0,0,0,114,72,17,0,0,0,20,11,0
"Big Spring, TX","13700",2020,48,40,7,1,0,0,0,116,71,16,0,0,0,48,0,0
"Billings, MT","13740",2020,60,55,5,0,0,0,0,66,43,22,0,0,0,0,60,0
"Birmingham-Hoover, AL","13820",2020,32,24,8,0,0,0,0,63,54,36,1,4,8,2,15,2
"Bishop, CA","13860",2020,91,91,0,0,0,0,0,49,41,33,0,0,49,0,0,42
"Bismarck, ND","13900",2020,92,88,4,0,0,0,0,66,44,35,1,1,64,0,26,0
"Blacksburg-Christiansburg-Radford, VA","13980",2020,29,29,0,0,0,0,0,43,41,36,0,0,29,0,0,0
"Bloomington, IL","14010",2020,58,43,15,0,0,0,0,64,54,40,0,0,0,0,58,0
"Bloomington, IN","14020",2020,91,87,4,0,0,0,0,52,47,33,0,0,55,0,36,0
"Borger, TX","14420",2020,60,53,5,2,0,0,0,128,62,1,0,0,0,60,0,0
"Boston-Cambridge-Newton, MA-NH","14460",2020,61,51,10,0,0,0,0,67,53,39,1,12,19,0,29,0
"Boulder, CO","14500",2020,70,69,1,0,0,0,0,58,44,38,0,0,56,0,12,2
"Bowling Green, KY","14540",2020,61,60,1,0,0,0,0,61,37,31,2,0,53,0,6,0
"Bozeman, MT","14580",2020,61,61,0,0,0,0,0,45,28,19,1,5,0,0,55,0
"Bremerton-Silverdale, WA","14740",2020,31,31,0,0,0,0,0,21,18,12,0,0,0,0,31,0
"Brownsville-Harlingen, TX","15180",2020,31,30,1,0,0,0,0,59,45,38,0,0,11,0,20,0
"Brunswick, GA","15260",2020,11,11,0,0,0,0,0,41,35,26,0,0,0,0,11,0
"Buffalo-Cheektowaga-Niagara Falls, NY","15380",2020,92,88,4,0,0,0,0,59,45,36,1,3,52,0,36,0
"Butte-Silver Bow, MT","15580",2020,60,54,6,0,0,0,0,62,51,18,0,0,0,0,27,33
"Cadillac, MI","15620",2020,60,60,0,0,0,0,0,41,38,33,0,0,60,0,0,0
"Cambridge, MD","15700",2020,88,88,0,0,0,0,0,47,40,34,0,0,83,0,5,0
"Canton-Massillon, OH","15940",2020,91,73,18,0,0,0,0,65,55,38,0,0,20,0,71,0
"Carlsbad-Artesia, NM","16100",2020,58,58,0,0,0,0,0,44,43,39,0,0,58,0,0,0
"Ca¤on City, CO","15860",2020,2,2,0,0,0,0,0,9,9,9,0,0,0,0,0,2
"Cedar City, UT","16260",2020,120,120,0,0,0,0,0,48,44,38,0,11,109,0,0,0
"Cedar Rapids, IA","16300",2020,121,86,35,0,0,0,0,81,59,40,0,0,38,3,80,0
"Centralia, WA","16500",2020,31,31,0,0,0,0,0,33,22,13,0,0,0,0,31,0
"Champaign-Urbana, IL","16580",2020,60,52,8,0,0,0,0,56,53,35,0,0,18,0,42,0
"Charleston, WV","16620",2020,92,91,1,0,0,0,0,52,44,33,1,0,65,0,26,0
"Charleston-North Charleston, SC","16700",2020,91,85,6,0,0,0,0,56,47,38,0,1,61,0,29,0
"Charlotte-Concord-Gastonia, NC-SC","16740",2020,122,105,17,0,0,0,0,58,52,39,1,0,75,0,46,0
"Charlottesville, VA","16820",2020,90,87,3,0,0,0,0,63,41,25,0,0,0,0,90,0
"Chattanooga, TN-GA","16860",2020,91,76,15,0,0,0,0,64,53,33,0,0,18,0,73,0
"Chicago-Naperville-Elgin, IL-IN-WI","16980",2020,91,51,40,0,0,0,0,77,64,46,0,2,25,6,56,2
"Chico, CA","17020",2020,10,7,3,0,0,0,0,62,62,38,0,0,0,0,10,0
"Cincinnati, OH-KY-IN","17140",2020,92,61,31,0,0,0,0,67,60,47,1,9,19,1,61,1
"Claremont-Lebanon, NH-VT","17200",2020,60,60,0,0,0,0,0,45,40,34,0,0,60,0,0,0
"Clarksville, TN-KY","17300",2020,59,57,2,0,0,0,0,70,41,31,0,0,53,0,6,0
"Cleveland, MS","17380",2020,91,80,11,0,0,0,0,63,53,34,0,0,16,0,75,0
"Cleveland-Elyria, OH","17460",2020,92,56,36,0,0,0,0,82,60,46,1,1,23,1,66,0
"Clinton, IA","17540",2020,121,89,32,0,0,0,0,71,59,40,0,0,32,0,89,0
"College Station-Bryan, TX","17780",2020,25,25,0,0,0,0,0,1,1,0,0,0,0,25,0,0
"Colorado Springs, CO","17820",2020,68,68,0,0,0,0,0,50,45,40,1,0,60,0,0,7
"Columbia, SC","17900",2020,92,80,12,0,0,0,0,65,53,34,1,2,43,0,46,0
"Columbus, GA-AL","17980",2020,91,78,13,0,0,0,0,77,55,26,0,0,0,0,91,0
"Columbus, IN","18020",2020,88,86,2,0,0,0,0,56,41,32,0,0,64,0,24,0
"Columbus, OH","18140",2020,92,84,8,0,0,0,0,65,50,37,1,4,21,0,66,0
"Corning, NY","18500",2020,92,87,5,0,0,0,0,77,46,34,1,0,46,0,45,0
"Corpus Christi, TX","18580",2020,31,31,0,0,0,0,0,45,38,35,0,0,21,0,10,0
"Corsicana, TX","18620",2020,31,22,7,2,0,0,0,105,77,38,0,0,11,7,13,0
"Crestview-Fort Walton Beach-Destin, FL","18880",2020,91,91,0,0,0,0,0,48,42,32,0,0,88,0,0,3
"Cumberland, MD-WV","19060",2020,87,87,0,0,0,0,0,9,4,1,0,0,0,87,0,0
"Dallas-Fort Worth-Arlington, TX","19100",2020,32,25,7,0,0,0,0,60,56,44,1,1,8,0,22,0
"Daphne-Fairhope-Foley, AL","19300",2020,11,11,0,0,0,0,0,48,39,20,0,0,0,0,11,0
"Davenport-Moline-Rock Island, IA-IL","19340",2020,122,67,55,0,0,0,0,100,62,47,1,0,24,0,81,16
"Dayton, OH","19380",2020,92,67,25,0,0,0,0,67,55,41,1,0,29,0,62,0
"Decatur, AL","19460",2020,31,31,0,0,0,0,0,37,28,21,0,0,0,0,31,0
"Decatur, IL","19500",2020,60,47,13,0,0,0,0,61,55,39,0,0,0,4,56,0
"Denver-Aurora-Lakewood, CO","19740",2020,103,76,27,0,0,0,0,93,60,45,0,35,21,0,21,26
"Des Moines-West Des Moines, IA","19780",2020,121,106,15,0,0,0,0,64,51,36,0,6,41,0,74,0
"Dickinson, ND","19860",2020,91,91,0,0,0,0,0,44,38,33,0,0,85,0,6,0
"Douglas, GA","20060",2020,11,11,0,0,0,0,0,25,25,18,0,0,0,0,11,0
"Dover, DE","20100",2020,60,55,5,0,0,0,0,60,45,34,0,0,39,0,21,0
"Duluth, MN-WI","20260",2020,57,57,0,0,0,0,0,46,38,32,0,0,57,0,0,0
"Durango, CO","20420",2020,31,31,0,0,0,0,0,44,43,38,0,0,31,0,0,0
"Durham-Chapel Hill, NC","20500",2020,91,91,0,0,0,0,0,43,34,13,0,0,0,31,59,1
"Eagle Pass, TX","20580",2020,29,29,0,0,0,0,0,46,37,15,0,0,0,0,29,0
"El Centro, CA","20940",2020,57,27,28,2,0,0,0,114,83,52,0,0,0,0,57,0
"El Dorado, AR","20980",2020,31,30,1,0,0,0,0,52,41,28,0,0,0,0,31,0
"El Paso, TX","21340",2020,32,25,7,0,0,0,0,66,58,41,1,9,11,0,11,0
"Elizabethtown-Fort Knox, KY","21060",2020,11,10,1,0,0,0,0,54,41,27,0,0,0,0,11,0
