Date,stn,wban,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxpsd,gust,max,flag_max,min,flag_min,prcp,flag_prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
1973-01-01,725020,14734,58.9,24,46.7,24,1015.8,24,1014.5,20,13.9,24,11.9,24,20.0,999.9,63.0,*,46.4,*,0.0,D,999.9,0,1,0,0,0,0
1973-01-02,725020,14734,41.0,24,23.9,24,1020.6,24,1019.6,24,18.6,24,11.4,24,21.0,29.9,48.0,*,35.1,*,0.0,D,999.9,0,0,0,0,0,0
1973-01-03,727410,99999,24.3,7,20.4,7,1017.5,7,9999.9,0,9.1,7,7.0,7,10.9,999.9,26.6,*,21.2,*,99.99,,999.9,0,0,1,0,0,0
1973-01-04,722950,23174,51.5,24,36.5,24,1013.6,24,1009.9,24,24.6,24,6.2,24,12.0,999.9,57.0,*,45.0,*,3.15,B,999.9,0,1,0,0,0,0
1973-01-05,727410,99999,-11.5,6,-24.1,6,1024.5,6,964.0,6,9.9,6,6.4,6,13.0,999.9,-2.2,*,-18.4,*,0.02,G,6.7,0,0,0,0,0,0
1973-01-06,727410,99999,-7.0,6,-18.4,6,1034.1,6,972.9,6,9.9,6,2.9,6,5.8,999.9,6.8,*,-16.6,*,0.0,I,6.7,0,0,0,0,0,0
1973-01-07,727410,99999,-8.4,7,-22.0,7,1038.8,7,977.5,7,9.9,7,2.1,7,4.9,999.9,5.0,*,-23.8,*,0.0,I,6.7,0,0,0,0,0,0
1973-01-08,727410,99999,-3.0,7,-14.8,7,1037.0,7,975.8,7,9.9,7,2.6,6,5.8,999.9,6.8,*,-14.8,*,0.0,I,6.3,0,0,0,0,0,0
1973-01-09,727410,99999,-8.4,7,-21.2,7,1030.2,7,969.4,7,9.9,7,7.3,7,11.8,999.9,-0.4,*,-16.6,*,0.0,I,6.3,0,0,0,0,0,0
1973-01-10,727410,99999,-6.3,7,-18.4,7,1019.3,7,959.1,7,9.1,7,7.8,7,9.9,999.9,1.4,*,-13.0,*,99.99,,999.9,0,0,1,0,0,0
1973-01-11,725020,14734,25.3,24,5.2,24,1017.0,24,1016.0,24,15.9,24,8.5,24,14.0,999.9,34.0,*,16.9,,0.0,A,999.9,0,0,0,0,0,0
1973-01-12,722950,23174,57.0,24,50.8,24,1024.6,24,1021.0,24,5.3,24,4.9,24,8.9,999.9,66.9,*,50.0,*,0.0,I,999.9,0,0,0,0,0,0
1973-01-13,722950,23174,60.3,24,51.4,24,1021.7,24,1018.1,24,8.5,24,4.6,24,8.9,999.9,75.9,*,52.0,*,0.0,I,999.9,1,0,0,0,0,0
1973-01-14,727410,99999,22.0,7,17.9,7,1010.5,7,953.0,7,8.8,7,4.7,7,7.0,999.9,28.4,*,15.8,*,1.1,A,5.9,0,0,1,0,0,0
1973-01-15,722950,23174,58.9,24,53.1,23,1019.3,23,1015.7,23,3.6,24,4.7,24,8.0,999.9,70.0,*,56.8,*,3.15,A,999.9,1,0,0,0,0,0
1973-01-16,722950,23174,56.7,24,51.4,23,1017.3,23,1013.7,23,8.4,24,5.8,24,12.0,19.8,59.0,*,55.9,*,99.99,,999.9,1,1,0,0,0,0
1973-01-17,727410,99999,37.1,7,32.8,7,1005.6,7,949.5,7,999.9,0,8.3,7,11.8,999.9,41.0,*,35.6,*,0.0,I,3.9,1,0,0,0,0,0
1973-01-18,727410,99999,41.3,6,39.2,6,1003.1,6,947.3,6,0.2,4,6.6,6,8.0,999.9,42.8,*,39.2,*,1.65,G,3.1,1,0,0,0,0,0
1973-01-19,727410,99999,19.4,6,12.5,6,1007.3,5,949.8,6,9.3,6,9.9,5,16.9,999.9,28.4,*,14.9,,0.0,G,5.9,0,1,1,0,0,0
1973-01-20,727410,99999,19.7,6,10.7,6,1020.1,6,961.8,6,9.9,6,7.5,6,11.8,999.9,26.6,*,17.6,*,0.0,A,999.9,0,0,0,0,0,0
1973-01-21,725020,14734,32.2,24,10.5,24,1020.5,24,1019.5,24,19.3,24,10.5,24,21.0,31.9,50.9,,25.0,,0.0,I,999.9,0,0,0,0,0,0
1973-01-22,727410,99999,27.2,6,22.7,6,1000.2,6,944.0,6,8.7,6,6.4,6,8.9,999.9,28.4,*,26.6,*,0.16,G,999.9,0,0,1,0,0,0
1973-01-23,722950,23174,53.2,24,26.7,24,1023.8,24,1020.2,24,19.7,24,5.3,24,15.0,999.9,64.0,*,41.0,*,0.0,I,999.9,0,0,0,0,0,0
1973-01-24,727410,99999,19.7,7,9.6,7,1012.0,7,954.2,7,10.9,7,5.3,7,7.0,999.9,37.4,*,8.6,*,0.94,G,3.1,0,0,0,0,0,0
1973-01-25,725020,14734,38.6,24,19.8,24,1016.1,24,1015.1,24,18.0,24,12.0,24,15.9,999.9,46.0,*,30.9,,0.0,I,999.9,0,0,0,0,0,0
1973-01-26,722950,23174,53.5,24,39.0,24,1018.2,24,1014.6,24,32.6,24,11.2,24,21.0,30.9,59.0,*,48.0,*,0.0,H,999.9,0,1,0,0,0,0
1973-01-27,725030,14732,40.3,24,33.6,24,1016.3,24,1015.3,24,4.2,24,7.7,24,16.9,25.8,43.0,*,36.9,*,0.04,G,999.9,1,1,0,0,0,0
1973-01-28,725020,14734,42.9,24,37.7,24,1010.8,24,1009.8,24,5.3,24,9.3,24,17.1,999.9,45.9,,39.9,,1.18,G,999.9,1,1,0,0,0,0
1973-01-29,727410,99999,6.3,7,-5.3,7,1025.8,7,966.5,7,9.9,7,5.5,7,10.9,999.9,19.4,*,-5.8,*,0.0,G,1.6,0,0,0,0,0,0
1973-01-30,727410,99999,10.4,7,2.9,7,1015.8,7,957.0,7,9.9,7,4.2,7,5.8,999.9,26.6,*,-2.2,*,0.83,A,1.6,0,0,0,0,0,0
1973-01-31,722950,23174,54.3,24,45.9,24,1012.4,24,1008.8,24,21.3,24,7.2,24,15.0,999.9,61.0,*,45.0,,0.08,G,999.9,0,0,0,0,0,0
