year,mo,da,temp,dewp,visib,wdsp,prcp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
1973,01,01,58.9,46.7,13.9,11.9,0.0,0,1,0,0,0,0
1973,01,02,41.0,23.9,18.6,11.4,0.0,0,0,0,0,0,0
1973,01,03,32.5,18.6,15.8,6.5,0.0,0,0,0,0,0,0
1973,01,04,42.0,36.2,8.2,7.2,0.0,1,1,1,0,0,0
1973,01,05,41.6,29.6,16.8,11.1,0.0,0,0,0,0,0,0
1973,01,06,30.3,12.9,19.7,15.8,0.0,0,0,0,0,0,0
1973,01,07,19.7,-0.7,19.9,16.5,0.0,0,0,0,0,0,0
1973,01,08,16.5,-3.0,19.3,10.0,0.0,0,0,0,0,0,0
1973,01,09,18.3,-2.5,19.9,9.7,0.0,0,0,0,0,0,0
1973,01,10,23.9,6.9,18.6,9.8,0.0,0,0,0,0,0,0
1973,01,11,25.3,5.2,15.9,8.5,0.0,0,0,0,0,0,0
1973,01,12,25.9,4.9,19.9,10.5,0.0,0,0,0,0,0,0
1973,01,13,27.3,11.9,15.7,6.2,0.0,0,0,0,0,0,0
1973,01,14,29.1,18.4,11.1,6.5,0.0,0,0,0,0,0,0
1973,01,15,37.1,23.8,9.8,5.5,0.0,0,0,0,0,0,0
1973,01,16,41.4,26.2,12.1,9.8,0.0,0,0,0,0,0,0
1973,01,17,45.9,27.3,10.8,11.8,0.0,0,0,0,0,0,0
1973,01,18,47.8,31.7,7.5,5.4,0.0,0,0,0,0,0,0
1973,01,19,47.4,39.8,6.3,4.7,99.99,0,1,0,0,0,0
1973,01,20,43.9,34.0,14.1,15.6,0.24,0,1,1,0,0,0
1973,01,21,32.2,10.5,19.3,10.5,0.0,0,0,0,0,0,0
1973,01,22,40.3,32.0,8.5,7.1,99.99,0,1,0,0,0,0
1973,01,23,52.2,43.5,12.7,13.3,0.08,0,1,0,0,0,0
1973,01,24,41.6,26.9,18.4,13.0,0.0,0,0,0,0,0,0
1973,01,25,38.6,19.8,18.0,12.0,0.0,0,0,0,0,0,0
1973,01,26,43.3,29.7,9.5,6.1,0.0,0,0,0,0,0,0
1973,01,27,41.2,36.3,4.0,6.1,99.99,1,1,0,0,0,0
1973,01,28,42.9,37.7,5.3,9.3,1.18,1,1,0,0,0,0
1973,01,29,34.8,28.1,11.2,16.4,0.0,1,1,1,0,1,0
1973,01,30,21.1,9.2,17.8,12.6,0.08,0,0,0,0,0,0
1973,01,31,27.0,11.4,17.8,10.3,0.0,0,0,0,0,0,0
1973,02,01,20.7,11.4,10.4,11.8,99.99,1,1,1,0,0,0
1973,02,02,44.7,41.4,2.9,9.3,0.59,1,1,0,0,0,0
1973,02,03,50.1,41.8,12.3,11.5,0.08,1,1,0,0,0,0
1973,02,04,40.3,26.3,15.5,13.3,0.0,0,0,0,0,0,0
1973,02,05,43.5,30.5,11.1,8.2,0.0,0,0,0,0,0,0
1973,02,06,38.5,22.2,12.0,11.4,0.0,0,0,0,0,0,0
1973,02,07,36.5,30.4,9.2,11.6,0.12,1,1,1,0,0,0
1973,02,08,40.6,32.8,7.6,5.1,99.99,1,1,0,0,0,0
1973,02,09,29.8,17.2,17.1,14.5,0.24,1,1,1,0,0,0
1973,02,10,22.0,7.8,19.9,12.2,0.0,0,0,0,0,0,0
1973,02,11,23.1,6.6,19.9,17.3,0.0,0,0,0,0,0,0
1973,02,12,20.4,-2.7,19.9,13.6,0.0,0,0,0,0,0,0
1973,02,13,27.5,5.9,19.9,9.2,0.0,0,0,0,0,0,0
1973,02,14,34.9,7.3,14.1,5.4,99.99,0,1,1,0,0,0
1973,02,15,40.8,35.2,6.8,8.6,0.59,1,1,1,0,0,0
1973,02,16,32.3,23.9,8.6,12.5,0.01,0,0,1,0,0,0
1973,02,17,13.9,-4.2,15.2,17.2,0.0,0,0,1,0,0,0
1973,02,18,20.0,-0.8,19.5,10.7,0.0,0,0,0,0,0,0
1973,02,19,31.1,12.8,14.3,8.5,0.0,0,0,0,0,0,0
1973,02,20,40.3,22.6,10.1,6.5,0.0,0,0,0,0,0,0
1973,02,21,43.5,29.1,9.0,4.5,99.99,0,1,0,0,0,0
1973,02,22,39.6,30.0,8.4,10.7,0.0,0,1,1,0,0,0
1973,02,23,33.1,15.7,16.0,14.9,0.0,0,0,0,0,0,0
1973,02,24,30.8,14.0,17.2,14.2,0.0,0,0,0,0,0,0
1973,02,25,32.6,13.5,16.8,9.0,0.0,0,0,0,0,0,0
1973,02,26,37.4,25.4,10.6,6.8,99.99,1,1,1,0,1,0
1973,02,27,29.7,11.9,14.7,13.6,0.0,0,0,0,0,0,0
1973,02,28,29.6,6.3,13.4,9.0,0.0,0,0,0,0,0,0
1973,03,01,39.3,20.2,8.2,7.9,0.0,0,0,0,0,0,0
1973,03,02,46.7,29.9,7.9,6.9,0.0,0,0,0,0,0,0
1973,03,03,44.9,36.5,4.8,7.2,0.01,1,1,0,0,0,0
1973,03,04,46.5,42.3,4.1,7.2,0.43,1,1,0,0,0,0
1973,03,05,49.3,40.6,7.0,8.4,0.0,0,0,0,0,0,0
1973,03,06,44.7,34.2,11.0,10.3,0.01,0,1,0,0,0,0
1973,03,07,45.5,40.4,4.7,10.4,0.0,1,1,0,0,0,0
1973,03,08,52.9,49.2,3.1,3.9,0.79,1,1,0,0,0,0
1973,03,09,55.6,44.0,6.9,6.3,0.59,1,0,0,0,0,0
1973,03,10,48.9,33.8,9.4,7.8,0.0,0,0,0,0,0,0
1973,03,11,45.1,39.9,3.8,7.7,0.01,1,1,0,0,0,0
1973,03,12,54.5,48.6,4.7,7.6,0.02,1,1,0,0,1,0
1973,03,13,55.7,38.8,19.9,12.3,0.24,0,0,0,0,0,0
1973,03,14,48.9,32.9,10.9,6.9,0.0,0,1,0,0,0,0
1973,03,15,47.3,38.6,5.7,6.6,0.16,1,1,0,0,0,0
1973,03,16,55.9,46.8,3.7,4.3,0.0,1,0,0,0,0,0
1973,03,17,57.9,52.4,6.1,9.7,0.28,1,1,0,0,0,0
1973,03,18,40.5,24.2,13.6,19.0,0.0,0,0,1,0,0,0
1973,03,19,39.1,21.9,19.5,17.6,0.04,0,0,1,0,0,0
1973,03,20,40.8,20.3,19.9,13.5,0.0,0,0,0,0,0,0
1973,03,21,39.2,19.6,17.2,10.3,0.0,0,0,0,0,0,0
1973,03,22,39.9,22.9,16.6,16.2,0.0,0,0,0,0,0,0
1973,03,23,44.5,16.0,18.6,16.5,0.87,0,0,0,0,0,0
1973,03,24,50.4,16.8,19.9,8.7,0.0,0,0,0,0,0,0
1973,03,25,52.8,24.2,13.1,4.7,0.0,0,0,0,0,0,0
1973,03,26,52.4,43.5,5.5,9.5,0.43,1,1,0,0,0,0
1973,03,27,51.9,30.4,15.6,15.6,0.0,0,0,0,0,0,0
1973,03,28,46.2,20.1,15.2,7.6,0.0,0,0,0,0,0,0
1973,03,29,44.3,30.7,10.4,6.4,0.0,0,0,0,0,0,0
1973,03,30,47.6,42.8,4.1,5.0,99.99,1,1,0,0,0,0
1973,03,31,52.0,47.0,3.1,5.0,0.0,1,1,0,0,0,0
1973,04,01,49.8,47.9,2.5,7.7,0.55,1,1,0,0,0,0
1973,04,02,53.1,50.0,7.1,7.1,1.5,1,1,0,0,1,0
1973,04,03,53.5,42.9,11.2,9.7,0.16,0,1,0,0,0,0
1973,04,04,47.9,42.7,4.9,7.8,0.0,1,1,0,0,0,0
1973,04,05,47.4,37.2,15.5,15.5,1.06,1,1,0,0,0,0
1973,04,06,50.1,31.8,16.1,15.1,0.0,0,0,0,0,0,0
1973,04,07,55.2,35.8,15.9,8.6,0.0,0,0,0,0,0,0
1973,04,08,46.7,39.6,6.8,10.3,0.39,1,1,1,0,0,0
1973,04,09,44.3,24.3,16.2,7.6,0.2,0,0,0,0,0,0
1973,04,10,49.9,38.9,13.9,13.0,0.43,1,1,0,0,0,0
1973,04,11,41.6,23.0,19.7,16.2,0.0,0,0,0,0,0,0
1973,04,12,41.6,20.8,17.3,11.8,0.31,0,0,0,0,0,0
1973,04,13,42.4,20.5,19.1,12.0,0.0,0,0,0,0,0,0
1973,04,14,43.8,19.3,19.9,9.6,0.0,0,0,0,0,0,0
1973,04,15,50.0,29.1,16.1,7.4,0.0,0,0,0,0,0,0
1973,04,16,57.3,31.3,14.7,11.0,0.0,0,0,0,0,0,0
1973,04,17,62.6,48.9,11.9,11.3,0.0,0,0,0,0,0,0
1973,04,18,67.4,54.2,10.9,8.6,0.0,0,1,0,0,0,0
1973,04,19,70.1,53.3,12.2,6.4,0.0,0,0,0,0,0,0
1973,04,20,62.6,43.0,15.4,7.9,0.0,0,1,0,0,0,0
1973,04,21,53.0,40.1,16.0,6.7,0.0,0,0,0,0,0,0
1973,04,22,67.4,52.9,12.0,10.2,0.0,0,0,0,0,0,0
1973,04,23,73.9,55.2,13.5,10.5,99.99,1,1,0,0,1,0
1973,04,24,62.6,48.5,14.7,8.0,0.47,1,1,0,0,0,0
1973,04,25,60.0,39.8,14.2,8.4,0.0,0,0,0,0,0,0
1973,04,26,53.3,47.8,7.0,10.9,0.83,1,1,0,0,0,0
1973,04,27,50.6,47.3,9.2,12.6,0.2,1,1,0,0,0,0
1973,04,28,55.1,50.4,8.2,9.2,0.43,1,1,0,0,1,0
1973,04,29,52.4,36.6,17.9,11.9,0.0,0,1,0,0,0,0
1973,04,30,55.9,34.4,17.5,6.9,0.0,0,0,0,0,0,0
1973,05,01,59.4,43.5,14.1,6.2,99.99,0,1,0,0,0,0
1973,05,02,61.4,54.0,5.6,5.5,0.01,1,1,0,0,0,0
1973,05,03,66.9,58.2,7.6,7.5,0.0,1,1,1,0,1,0
1973,05,04,57.2,45.4,13.2,10.0,0.35,0,1,0,0,0,0
1973,05,05,50.0,34.4,19.9,11.1,0.0,0,0,0,0,0,0
1973,05,06,56.3,36.7,19.7,10.6,0.0,0,0,0,0,0,0
1973,05,07,58.8,42.7,13.4,7.6,0.0,0,0,0,0,0,0
1973,05,08,54.2,46.7,12.3,7.2,99.99,1,1,0,0,0,0
1973,05,09,58.2,55.9,3.8,8.3,0.51,1,1,0,0,0,0
1973,05,10,63.2,57.7,3.0,5.3,0.0,1,1,0,0,0,0
1973,05,11,65.8,53.6,8.2,7.1,0.08,1,1,0,0,1,0
1973,05,12,61.7,45.1,15.2,8.1,0.0,0,1,0,0,1,0
1973,05,13,58.6,45.0,17.7,9.9,0.16,0,0,0,0,0,0
1973,05,14,59.5,43.7,11.9,6.0,0.0,0,0,0,0,0,0
1973,05,15,58.8,49.2,6.4,5.8,0.04,1,1,0,0,0,0
1973,05,16,56.2,42.2,13.0,8.7,0.2,1,1,0,0,0,0
1973,05,17,59.3,45.5,12.5,9.5,0.0,0,0,0,0,0,0
1973,05,18,52.3,41.0,14.5,11.5,0.2,0,1,0,0,0,0
1973,05,19,56.2,37.0,14.6,8.6,0.0,0,0,0,0,0,0
1973,05,20,61.4,51.5,9.6,7.1,0.0,1,1,0,0,0,0
1973,05,21,58.2,54.6,7.9,8.0,0.12,1,1,0,0,0,0
1973,05,22,64.1,46.1,15.7,11.5,0.0,0,0,0,0,0,0
1973,05,23,61.2,48.3,8.9,6.9,99.99,1,1,0,0,0,0
1973,05,24,57.6,52.0,6.5,9.6,0.43,1,1,0,0,0,0
1973,05,25,55.9,49.2,10.2,10.8,0.02,0,1,0,0,0,0
1973,05,26,56.3,46.3,12.9,9.5,99.99,0,1,0,0,0,0
1973,05,27,54.7,46.9,12.3,8.2,0.08,0,1,0,0,0,0
1973,05,28,60.3,57.3,7.1,8.0,0.24,1,1,0,0,0,0
1973,05,29,74.2,61.5,11.8,9.4,0.71,0,1,0,0,0,0
1973,05,30,73.0,55.2,9.8,5.6,0.0,0,0,0,0,0,0
1973,05,31,70.4,57.3,7.9,7.3,0.08,1,1,0,0,0,0
1973,06,01,69.8,53.1,8.7,10.1,0.0,0,1,0,0,1,0
1973,06,02,69.1,56.2,11.7,6.4,0.04,0,0,0,0,0,0
1973,06,03,65.6,50.9,12.6,6.4,0.0,0,1,0,0,0,0
1973,06,04,70.9,61.3,5.5,6.3,0.01,1,1,0,0,0,0
1973,06,05,76.3,66.1,9.7,7.1,0.04,0,1,0,0,1,0
1973,06,06,76.2,65.9,6.7,6.9,0.0,0,1,0,0,1,0
1973,06,07,77.6,66.7,9.9,8.7,0.01,0,0,0,0,0,0
1973,06,08,79.1,63.6,8.6,6.7,0.0,1,0,0,0,0,0
1973,06,09,82.6,68.2,8.0,10.6,0.0,0,0,0,0,0,0
1973,06,10,82.7,59.5,14.0,8.5,0.0,0,0,0,0,0,0
1973,06,11,85.1,64.2,10.6,9.2,0.0,0,0,0,0,0,0
1973,06,12,86.8,70.5,4.7,11.5,0.0,0,0,0,0,0,0
1973,06,13,77.5,67.1,7.5,8.0,0.04,0,1,0,0,1,0
1973,06,14,75.9,52.9,18.2,9.6,0.12,0,0,0,0,0,0
1973,06,15,73.9,47.7,19.7,8.5,0.0,0,0,0,0,0,0
1973,06,16,73.1,59.5,9.7,9.2,0.04,1,1,0,0,0,0
1973,06,17,68.6,55.6,14.1,10.6,0.04,0,0,0,0,0,0
